"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1191981001 MS FOR [WFI2812]","9","04/30/2019 12:00","1505813","MS","","04/30/2019 14:25","05/03/2019 16:28","WFI2812","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",68.5,"=","",,1,"mg/L",20,5,5,,,50,96.7,90,110,20.2,,,,3,"","Waters Department",20,11,"EWW",2,1,0.5
"","1191981001 MSD FOR [WFI2812]","9","04/30/2019 12:00","1505814","MSD","","04/30/2019 14:25","05/03/2019 16:30","WFI2812","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",73.4,"=","",,1,"mg/L",20,5,5,,,50,106,90,110,20.2,6.9,0,25,3,"","Waters Department",20,11,"EWW",2,1,0.5
"","1191987003 MS FOR [WFI2812]","1","04/30/2019 10:25","1505815","MS","","04/30/2019 15:30","05/03/2019 16:09","WFI2812","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",6.53,"=","",,0.1,"mg/L",2,5,5,,,5,128,90,110,0.129,,,,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1191987003 MSD FOR [WFI2812]","1","04/30/2019 10:25","1505816","MSD","","04/30/2019 15:30","05/03/2019 16:11","WFI2812","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",6.46,"=","",,0.1,"mg/L",2,5,5,,,5,127,90,110,0.129,1.1,0,25,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1191988001 MS FOR [WXX12815]","1","04/30/2019 09:00","1507053","MS","","04/30/2019 15:30","05/10/2019 17:09","WDA4553","WXX12815","SM21 4500P-B,E","05/10/2019 15:20","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.221,"=","",,0.01,"mg/L",1,25,25,,,0.2,99.9,75,125,0.021,,,,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","1191988001 MSD FOR [WXX12815]","1","04/30/2019 09:00","1507054","MSD","","04/30/2019 15:30","05/10/2019 17:10","WDA4553","WXX12815","SM21 4500P-B,E","05/10/2019 15:20","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.219,"=","",,0.01,"mg/L",1,25,25,,,0.2,99.2,75,125,0.021,0.68,0,25,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","CB for HBN 1793284 (WFI/2812)","1","","1505842","CB","","05/06/2019 09:48","05/03/2019 16:16","WFI2812","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"EWW",0.1,0.05,0.025
"","CB for HBN 1793284 (WFI/2812)","1","","1505842","CB","","05/06/2019 09:48","05/03/2019 16:16","WFI2812","","","","",".","Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"EWW",0.1,0.05,0.025
"","CB for HBN 1793284 (WFI/2812)","1","","1505842","CB","","05/06/2019 09:48","05/03/2019 16:16","WFI2812","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"EWW",0.1,0.05,0.025
"","CB for HBN 1793284 (WFI/2812)","1","","1505844","CB","","05/06/2019 09:48","05/03/2019 16:39","WFI2812","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"EWW",0.1,0.05,0.025
