"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1194284001MS","1","07/30/2019 09:00","1526066","MS","","07/31/2019 16:40","08/15/2019 11:48","WDA4629","WXX12974","SM21 4500P-B,E","08/14/2019 21:30","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.207,"=","",,0.01,"mg/L",1,25,25,,,0.2,89.5,75,125,0.0277,,,,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","1194284001MSD","1","07/30/2019 09:00","1526067","MSD","","07/31/2019 16:40","08/15/2019 11:49","WDA4629","WXX12974","SM21 4500P-B,E","08/14/2019 21:30","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.21,"=","",,0.01,"mg/L",1,25,25,,,0.2,91.4,75,125,0.0277,1.8,0,25,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","1194337009 MS FOR [WFI2832]","1","08/01/2019 10:46","1524592","MS","","08/05/2019 09:17","08/09/2019 15:50","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.51,"=","",,0.1,"mg/L",2,5,5,,,5,107,90,110,0.14,,,,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1194337009 MSD FOR [WFI2832]","1","08/01/2019 10:46","1524593","MSD","","08/05/2019 09:17","08/09/2019 15:52","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.6,"=","",,0.1,"mg/L",2,5,5,,,5,109,90,110,0.14,1.7,0,25,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1194397001 MS FOR [WFI2832]","9","08/07/2019 10:29","1524594","MS","","08/07/2019 10:30","08/09/2019 15:10","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",29.3,"=","",,0.4,"mg/L",8,5,5,,,20,106,90,110,8.14,,,,3,"","Waters Department",20,11,"EWW",0.8,0.4,0.2
"","1194397001 MSD FOR [WFI2832]","9","08/07/2019 10:29","1524595","MSD","","08/07/2019 10:30","08/09/2019 15:11","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",30.5,"=","",,0.4,"mg/L",8,5,5,,,20,112,90,110,8.14,3.9,0,25,3,"","Waters Department",20,11,"EWW",0.8,0.4,0.2
"","1523174 MS FOR [MXX32633]","1","07/31/2019 15:19","1523179","MS","","08/05/2019 09:12","08/05/2019 20:28","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Arsenic",".","7440-38-2","N","EP200.8",1050,"=","",,2.5,"ug/L",1,20,50,,,1000,105,70,130,0,,,,3,"(<10)","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",5,2.5,1.5
"","1523174 MS FOR [MXX32633]","1","07/31/2019 15:19","1523179","MS","","08/05/2019 09:12","08/05/2019 20:28","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Cadmium",".","7440-43-9","N","EP200.8",105,"=","",,0.25,"ug/L",1,20,50,,,100,105,70,130,0,,,,3,"(<5)","Metals by ICP/MS (Provisional Cert)",15,7,"DSH",0.5,0.25,0.15
"","1523174 MS FOR [MXX32633]","1","07/31/2019 15:19","1523179","MS","","08/05/2019 09:12","08/05/2019 20:28","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Chromium",".","7440-47-3","N","EP200.8",428,"=","",,1,"ug/L",1,20,50,,,400,107,70,130,0,,,,3,"(<100)","Metals by ICP/MS (Provisional Cert)",15,9,"DSH",2,1,0.8
"","1523174 MS FOR [MXX32633]","1","07/31/2019 15:19","1523179","MS","","08/05/2019 09:12","08/05/2019 20:28","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Copper",".","7440-50-8","N","EP200.8",1090,"=","",,0.5,"ug/L",1,20,50,,,1000,105,70,130,38.2,,,,3,"(<1000)","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",1,0.5,0.31
"","1523174 MS FOR [MXX32633]","1","07/31/2019 15:19","1523179","MS","","08/05/2019 09:12","08/05/2019 20:28","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Lead",".","7439-92-1","N","EP200.8",1110,"=","",,0.1,"ug/L",1,20,50,,,1000,111,70,130,1.4,,,,3,"(<15)","Metals by ICP/MS (Provisional Cert)",15,13,"DSH",0.2,0.1,0.07
"","1523174 MS FOR [MXX32633]","1","07/31/2019 15:19","1523179","MS","","08/05/2019 09:12","08/05/2019 20:28","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Zinc",".","7440-66-6","N","EP200.8",1100,"=","",,5,"ug/L",1,20,50,,,1000,104,70,130,60.1,,,,3,"(<5000)","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",10,5,3.1
"","1523180 MS FOR [MXX32633]","1","08/02/2019 10:00","1523182","MS","","08/05/2019 09:14","08/05/2019 21:06","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Arsenic",".","7440-38-2","N","EP200.8",1090,"=","",,2.5,"ug/L",1,20,50,,,1000,106,70,130,25,,,,3,"(<10)","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",5,2.5,1.5
"","1523180 MS FOR [MXX32633]","1","08/02/2019 10:00","1523182","MS","","08/05/2019 09:14","08/05/2019 21:06","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Cadmium",".","7440-43-9","N","EP200.8",104,"=","",,0.25,"ug/L",1,20,50,,,100,104,70,130,0,,,,3,"(<5)","Metals by ICP/MS (Provisional Cert)",15,7,"DSH",0.5,0.25,0.15
"","1523180 MS FOR [MXX32633]","1","08/02/2019 10:00","1523182","MS","","08/05/2019 09:14","08/05/2019 21:06","MMS10582","MXX32633","E200.2","08/05/2019 10:22","Chromium",".","7440-47-3","N","EP200.8",433,"=","",,1,"ug/L",1,20,50,,,400,108,70,130,0,,,,3,"(<100)","Metals by ICP/MS (Provisional Cert)",15,9,"DSH",2,1,0.8
