"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1203461001 MS FOR [WFI2882]","9","07/15/2020 14:00","1571269","MS","","07/16/2020 13:57","07/28/2020 14:55","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",14.5,"=","",,0.2,"mg/L",4,5,5,,,10,96.6,90,110,4.87,,,,3,"","Waters Department",20,11,"EWW",0.4,0.2,0.1
"","1203461001 MSD FOR [WFI2882]","9","07/15/2020 14:00","1571270","MSD","","07/16/2020 13:57","07/28/2020 14:57","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",14.2,"=","",,0.2,"mg/L",4,5,5,,,10,93.3,90,110,4.87,2.3,0,25,3,"","Waters Department",20,11,"EWW",0.4,0.2,0.1
"","1203545002 MS FOR [WFI2882]","1","07/21/2020 07:35","1571271","MS","","07/21/2020 12:14","07/28/2020 15:09","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.77,"=","",,0.1,"mg/L",2,5,5,,,5,115,90,110,0,,,,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1203545002 MSD FOR [WFI2882]","1","07/21/2020 07:35","1571272","MSD","","07/21/2020 12:14","07/28/2020 15:11","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.81,"=","",,0.1,"mg/L",2,5,5,,,5,116,90,110,0,0.67,0,25,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1203562002MS","1","07/21/2020 09:45","1572637","MS","","07/21/2020 16:52","08/04/2020 13:49","WDA4825","WXX13379","SM21 4500P-B,E","08/04/2020 11:36","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.239,"=","",,0.02,"mg/L",1,25,25,,,0.2,112,75,125,0.0155,,,,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1203562002MSD","1","07/21/2020 09:45","1572638","MSD","","07/21/2020 16:52","08/04/2020 13:50","WDA4825","WXX13379","SM21 4500P-B,E","08/04/2020 11:36","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.221,"=","",,0.02,"mg/L",1,25,25,,,0.2,103,75,125,0.0155,8,0,25,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012
"","1203563004 MS FOR [WFI2882]","1","07/21/2020 10:55","1571273","MS","","07/21/2020 16:52","07/28/2020 16:40","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.22,"=","",,0.1,"mg/L",2,5,5,,,5,101,90,110,0.187,,,,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1203563004 MSD FOR [WFI2882]","1","07/21/2020 10:55","1571274","MSD","","07/21/2020 16:52","07/28/2020 16:42","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.61,"=","",,0.1,"mg/L",2,5,5,,,5,109,90,110,0.187,7.4,0,25,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1571063 MS FOR [MXX33486]","1","07/22/2020 10:35","1571069","MS","","07/27/2020 17:31","07/29/2020 14:25","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Arsenic",".","7440-38-2","N","EP200.8",986,"=","",,2.5,"ug/L",1,20,50,,,1000,98.6,70,130,0,,,,3,"(<10)","Metals by ICP/MS (Provisional Cert)",15,3,"ACF",5,2.5,1.5
"","1571063 MS FOR [MXX33486]","1","07/22/2020 10:35","1571069","MS","","07/27/2020 17:31","07/29/2020 14:25","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Cadmium",".","7440-43-9","N","EP200.8",96.9,"=","",,0.25,"ug/L",1,20,50,,,100,96.9,70,130,0,,,,3,"(<5)","Metals by ICP/MS (Provisional Cert)",15,7,"ACF",0.5,0.25,0.15
"","1571063 MS FOR [MXX33486]","1","07/22/2020 10:35","1571069","MS","","07/27/2020 17:31","07/29/2020 14:25","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Chromium",".","7440-47-3","N","EP200.8",419,"=","",,1,"ug/L",1,20,50,,,400,105,70,130,0,,,,3,"(<100)","Metals by ICP/MS (Provisional Cert)",15,9,"ACF",2,1,0.8
"","1571063 MS FOR [MXX33486]","1","07/22/2020 10:35","1571069","MS","","07/27/2020 17:31","07/29/2020 14:25","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Copper",".","7440-50-8","N","EP200.8",1010,"=","",,0.5,"ug/L",1,20,50,,,1000,101,70,130,0.534,,,,3,"(<1000)","Metals by ICP/MS (Provisional Cert)",15,11,"ACF",1,0.5,0.31
"","1571063 MS FOR [MXX33486]","1","07/22/2020 10:35","1571069","MS","","07/27/2020 17:31","07/29/2020 14:25","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Lead",".","7439-92-1","N","EP200.8",1030,"=","",,0.1,"ug/L",1,20,50,,,1000,103,70,130,0.0755,,,,3,"(<15)","Metals by ICP/MS (Provisional Cert)",15,13,"ACF",0.2,0.1,0.07
"","1571063 MS FOR [MXX33486]","1","07/22/2020 10:35","1571069","MS","","07/27/2020 17:31","07/29/2020 14:25","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Zinc",".","7440-66-6","N","EP200.8",976,"=","",,5,"ug/L",1,20,50,,,1000,97.6,70,130,0,,,,3,"(<5000)","Metals by ICP/MS (Provisional Cert)",15,32,"ACF",10,5,3.1
"","1571070 MS FOR [MXX33486]","1","07/22/2020 10:35","1571071","MS","","07/27/2020 17:35","07/29/2020 14:40","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Arsenic",".","7440-38-2","N","EP200.8",980,"=","",,2.5,"ug/L",1,20,50,,,1000,98,70,130,0,,,,3,"(<10)","Metals by ICP/MS (Provisional Cert)",15,3,"ACF",5,2.5,1.5
"","1571070 MS FOR [MXX33486]","1","07/22/2020 10:35","1571071","MS","","07/27/2020 17:35","07/29/2020 14:40","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Cadmium",".","7440-43-9","N","EP200.8",96.9,"=","",,0.25,"ug/L",1,20,50,,,100,96.9,70,130,0,,,,3,"(<5)","Metals by ICP/MS (Provisional Cert)",15,7,"ACF",0.5,0.25,0.15
"","1571070 MS FOR [MXX33486]","1","07/22/2020 10:35","1571071","MS","","07/27/2020 17:35","07/29/2020 14:40","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Chromium",".","7440-47-3","N","EP200.8",422,"=","",,1,"ug/L",1,20,50,,,400,105,70,130,0,,,,3,"(<100)","Metals by ICP/MS (Provisional Cert)",15,9,"ACF",2,1,0.8
"","1571070 MS FOR [MXX33486]","1","07/22/2020 10:35","1571071","MS","","07/27/2020 17:35","07/29/2020 14:40","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Copper",".","7440-50-8","N","EP200.8",1010,"=","",,0.5,"ug/L",1,20,50,,,1000,101,70,130,0.539,,,,3,"(<1000)","Metals by ICP/MS (Provisional Cert)",15,11,"ACF",1,0.5,0.31
"","1571070 MS FOR [MXX33486]","1","07/22/2020 10:35","1571071","MS","","07/27/2020 17:35","07/29/2020 14:40","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Lead",".","7439-92-1","N","EP200.8",1040,"=","",,0.1,"ug/L",1,20,50,,,1000,104,70,130,0,,,,3,"(<15)","Metals by ICP/MS (Provisional Cert)",15,13,"ACF",0.2,0.1,0.07
"","1571070 MS FOR [MXX33486]","1","07/22/2020 10:35","1571071","MS","","07/27/2020 17:35","07/29/2020 14:40","MMS10841","MXX33486","E200.2","07/27/2020 16:10","Zinc",".","7440-66-6","N","EP200.8",985,"=","",,5,"ug/L",1,20,50,,,1000,98.5,70,130,0,,,,3,"(<5000)","Metals by ICP/MS (Provisional Cert)",15,32,"ACF",10,5,3.1
"","CB for HBN 1809428 (WFI/2882)","1","","1571291","CB","","07/28/2020 18:50","07/28/2020 15:04","WFI2882","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571291","CB","","07/28/2020 18:50","07/28/2020 15:04","WFI2882","","","","",".","Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571291","CB","","07/28/2020 18:50","07/28/2020 15:04","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571293","CB","","07/28/2020 18:50","07/28/2020 15:27","WFI2882","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571293","CB","","07/28/2020 18:50","07/28/2020 15:27","WFI2882","","","","",".","Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571293","CB","","07/28/2020 18:50","07/28/2020 15:27","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571295","CB","","07/28/2020 18:50","07/28/2020 15:50","WFI2882","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571295","CB","","07/28/2020 18:50","07/28/2020 15:50","WFI2882","","","","",".","Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571295","CB","","07/28/2020 18:50","07/28/2020 15:50","WFI2882","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"EWW",0.1,0.05,0.025
"","CB for HBN 1809428 (WFI/2882)","1","","1571299","CB","","07/28/2020 18:50","07/28/2020 16:35","WFI2882","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"EWW",0.1,0.05,0.025
