PROJECT_ID,SAMPLE_ID,MATRIX,COLLECT_DATE,LAB_SAMPLE_ID,SAMPLE_TYPE,LOCATION,REC_DATE,RUN_DATE,ANL_BATCH,PRP_BATCH,EXTRACTION_CODE,EXTRACTED_DATE,ANALYTE,CAS_NUMBER,ANALYTE_FLAG,ANALYTICAL_METHOD,RESULT,RESULTFLAG,TEXT_RESULT,REPDL,LIMIT_DEFINITION,UNITS,ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERY,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,ALLOWABLE_LIMITS,DISSOLVED,ANALYSIS_GROUP,METHOD_ORDER,ANALTE_ORDER,LOQ,LOD,DL,SDG
1231846,RM 0-NO NAME CREEK,WATER,05/03/2023 10:30,FC5912-1,PS,,05/09/2023 00:00,05/22/2023 11:15,MA19432,MP42262,EPA 200.7,05/18/2023 16:00,Calcium,7440-70-2,N,EPA 200.7,9790,,,100,LOD,ug/l,1,,,,,,,,,,,,,3,,T,Metals,001,80,1000,100,1000,FC5912
1231846,RM 0-NO NAME CREEK,WATER,05/03/2023 10:30,FC5912-1,PS,,05/09/2023 00:00,05/22/2023 11:15,MA19432,MP42262,EPA 200.7,05/18/2023 16:00,Copper,7440-50-8,N,EPA 200.7,0,U,,2.0,LOD,ug/l,1,,,,,,,,,,,,,2,,T,Metals,001,110,25,2.0,25,FC5912
1231846,RM 0-NO NAME CREEK,WATER,05/03/2023 10:30,FC5912-1,PS,,05/09/2023 00:00,05/22/2023 11:15,MA19432,MP42262,EPA 200.7,05/18/2023 16:00,Iron,7439-89-6,N,EPA 200.7,5410,,,50,LOD,ug/l,1,,,,,,,,,,,,,3,,T,Metals,001,120,300,50,300,FC5912
1231846,RM 0-NO NAME CREEK,WATER,05/03/2023 10:30,FC5912-1,PS,,05/09/2023 00:00,05/22/2023 11:15,MA19432,MP42262,EPA 200.7,05/18/2023 16:00,Magnesium,7439-95-4,N,EPA 200.7,0,U,,100,LOD,ug/l,1,,,,,,,,,,,,,3,,T,Metals,001,140,5000,100,5000,FC5912
1231846,RM 0-NO NAME CREEK,WATER,05/03/2023 10:30,FC5912-1,PS,,05/09/2023 00:00,05/22/2023 11:15,MA19432,MP42262,EPA 200.7,05/18/2023 16:00,Zinc,7440-66-6,N,EPA 200.7,0,U,,5.0,LOD,ug/l,1,,,,,,,,,,,,,2,,T,Metals,001,280,20,5.0,20,FC5912
1231846,RM 0-NO NAME CREEK-FB,WATER,05/02/2023 10:30,FC5912-23,PS,,05/09/2023 00:00,05/22/2023 19:27,MA19429,MP42269,SW846 3010A,05/19/2023 14:23,Calcium,7440-70-2,N,SW846 6010D,0,U,,100,LOD,ug/l,1,,,,,,,,,,,,,2,,T,Metals,002,80,1000,100,1000,FC5912
1231846,RM 0-NO NAME CREEK-FB,WATER,05/02/2023 10:30,FC5912-23,PS,,05/09/2023 00:00,05/22/2023 19:27,MA19429,MP42269,SW846 3010A,05/19/2023 14:23,Copper,7440-50-8,N,SW846 6010D,0,U,,2.0,LOD,ug/l,1,,,,,,,,,,,,,2,,T,Metals,002,110,25,2.0,25,FC5912
1231846,RM 0-NO NAME CREEK-FB,WATER,05/02/2023 10:30,FC5912-23,PS,,05/09/2023 00:00,05/22/2023 19:27,MA19429,MP42269,SW846 3010A,05/19/2023 14:23,Iron,7439-89-6,N,SW846 6010D,0,U,,50,LOD,ug/l,1,,,,,,,,,,,,,2,,T,Metals,002,120,300,50,300,FC5912
1231846,RM 0-NO NAME CREEK-FB,WATER,05/02/2023 10:30,FC5912-23,PS,,05/09/2023 00:00,05/22/2023 19:27,MA19429,MP42269,SW846 3010A,05/19/2023 14:23,Magnesium,7439-95-4,N,SW846 6010D,0,U,,100,LOD,ug/l,1,,,,,,,,,,,,,2,,T,Metals,002,140,5000,100,5000,FC5912
1231846,RM 0-NO NAME CREEK-FB,WATER,05/02/2023 10:30,FC5912-23,PS,,05/09/2023 00:00,05/22/2023 19:27,MA19429,MP42269,SW846 3010A,05/19/2023 14:23,Zinc,7440-66-6,N,SW846 6010D,0,U,,5.0,LOD,ug/l,1,,,,,,,,,,,,,2,,T,Metals,002,280,20,5.0,20,FC5912
