"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1184120001MS","1","07/31/2018 11:07","1464476","MS","","07/31/2018 16:00","08/02/2018 17:52","WFI2732","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.22,"=","",,0.05,"mg/L",2,5,5,,,5,104,90,110,0,,,,3,"","Waters Department",20,11,"AYC",0.1,0.05,0.025
"","1184120001MS","1","07/31/2018 11:07","1465151","MS","","07/31/2018 16:00","08/07/2018 14:04","WDA4362","WXX12463","SM21 4500P-B,E","08/06/2018 12:14","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.187,"=","",,0.01,"mg/L",1,25,25,,,0.2,93.5,75,125,0,,,,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","1184120001MSD","1","07/31/2018 11:07","1464477","MSD","","07/31/2018 16:00","08/02/2018 17:54","WFI2732","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.32,"=","",,0.05,"mg/L",2,5,5,,,5,106,90,110,0,1.9,0,25,3,"","Waters Department",20,11,"AYC",0.1,0.05,0.025
"","1184120001MSD","1","07/31/2018 11:07","1465152","MSD","","07/31/2018 16:00","08/07/2018 14:05","WDA4362","WXX12463","SM21 4500P-B,E","08/06/2018 12:14","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.194,"=","",,0.01,"mg/L",1,25,25,,,0.2,96.8,75,125,0,3.4,0,25,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","CB for HBN 1783641 (WFI/2732)","1","","1464484","CB","","08/03/2018 15:14","08/02/2018 17:47","WFI2732","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783641 (WFI/2732)","1","","1464484","CB","","08/03/2018 15:14","08/02/2018 17:47","WFI2732","","","","",".","Nitrite","N","SM21 4500NO3-F",0,"U","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783641 (WFI/2732)","1","","1464484","CB","","08/03/2018 15:14","08/02/2018 17:47","WFI2732","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0,"U","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783641 (WFI/2732)","1","","1464486","CB","","08/03/2018 15:14","08/02/2018 18:10","WFI2732","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783641 (WFI/2732)","1","","1464486","CB","","08/03/2018 15:14","08/02/2018 18:10","WFI2732","","","","",".","Nitrite","N","SM21 4500NO3-F",0,"U","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783641 (WFI/2732)","1","","1464486","CB","","08/03/2018 15:14","08/02/2018 18:10","WFI2732","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0,"U","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"AYC",0.05,0.025,0.0125
