"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1184120001 MS FOR [WFI2732]","1","07/31/2018 11:07","1464476","MS","","07/31/2018 16:00","08/02/2018 17:52","WFI2732","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.22,"=","",,0.05,"mg/L",2,5,5,,,5,104,90,110,0,,,,3,"","Waters Department",20,11,"AYC",0.1,0.05,0.025
"","1184120001 MS FOR [WXX12463]","1","07/31/2018 11:07","1465151","MS","","07/31/2018 16:00","08/07/2018 14:04","WDA4362","WXX12463","SM21 4500P-B,E","08/06/2018 12:14","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.187,"=","",,0.01,"mg/L",1,25,25,,,0.2,93.5,75,125,0,,,,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","1184120001 MSD FOR [WFI2732]","1","07/31/2018 11:07","1464477","MSD","","07/31/2018 16:00","08/02/2018 17:54","WFI2732","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.32,"=","",,0.05,"mg/L",2,5,5,,,5,106,90,110,0,1.9,0,25,3,"","Waters Department",20,11,"AYC",0.1,0.05,0.025
"","1184120001 MSD FOR [WXX12463]","1","07/31/2018 11:07","1465152","MSD","","07/31/2018 16:00","08/07/2018 14:05","WDA4362","WXX12463","SM21 4500P-B,E","08/06/2018 12:14","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.194,"=","",,0.01,"mg/L",1,25,25,,,0.2,96.8,75,125,0,3.4,0,25,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","1188801008 MS FOR [WXX12462]","1","08/01/2018 00:00","1465129","MS","","08/01/2018 10:47","08/07/2018 11:46","WDA4361","WXX12462","METHOD","08/06/2018 10:50","Total Kjeldahl Nitrogen","T","Tot. K. Nitro.","N","SM21 4500-N D",3.55,"=","",,0.5,"mg/L",1,25,25,,,4,88.9,75,125,0,,,,3,"","Waters Department",20,237,"DMM",1,0.5,0.31
"","1188801008 MSD FOR [WXX12462]","1","08/01/2018 00:00","1465130","MSD","","08/01/2018 10:47","08/07/2018 11:47","WDA4361","WXX12462","METHOD","08/06/2018 10:50","Total Kjeldahl Nitrogen","T","Tot. K. Nitro.","N","SM21 4500-N D",3.63,"=","",,0.5,"mg/L",1,25,25,,,4,90.7,75,125,0,2.1,0,25,3,"","Waters Department",20,237,"DMM",1,0.5,0.31
"","1463813 MS FOR [MXX31801]","9","07/31/2018 09:27","1463814","MS","","08/02/2018 08:13","08/04/2018 19:32","MMS10267","MXX31801","E200.2","08/02/2018 08:00","Arsenic",".","7440-38-2","N","EP200.8",1020,"=","",,2.5,"ug/L",1,20,50,,,1000,102,70,130,0,,,,3,"(<10)","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",5,2.5,1.5
"","1463813 MS FOR [MXX31801]","9","07/31/2018 09:27","1463814","MS","","08/02/2018 08:13","08/04/2018 19:32","MMS10267","MXX31801","E200.2","08/02/2018 08:00","Cadmium",".","7440-43-9","N","EP200.8",102,"=","",,0.25,"ug/L",1,20,50,,,100,102,70,130,0,,,,3,"(<5)","Metals by ICP/MS (Provisional Cert)",15,7,"DSH",0.5,0.25,0.15
"","1463813 MS FOR [MXX31801]","9","07/31/2018 09:27","1463814","MS","","08/02/2018 08:13","08/04/2018 19:32","MMS10267","MXX31801","E200.2","08/02/2018 08:00","Chromium",".","7440-47-3","N","EP200.8",423,"=","",,1,"ug/L",1,20,50,,,400,106,70,130,0,,,,3,"(<100)","Metals by ICP/MS (Provisional Cert)",15,9,"DSH",2,1,0.78
"","1463813 MS FOR [MXX31801]","9","07/31/2018 09:27","1463814","MS","","08/02/2018 08:13","08/04/2018 19:32","MMS10267","MXX31801","E200.2","08/02/2018 08:00","Copper",".","7440-50-8","N","EP200.8",1300,"=","",,0.5,"ug/L",1,20,50,,,1000,130,70,130,2.65,,,,3,"(<1000)","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",1,0.5,0.31
